alto,ancho,autor,autora,autores,estado,fecha,lugar_produccion,materia,numero_catalogo,procedencia,serie,soporte,tecnica,titulo,url
181,214,Anónimo,0,0,0,Siglo XII,0,0,P007279,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Pintura mural de la ermita de la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,El evangelista san Marcos y un ángel. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/el-evangelista-san-marcos-y-un-angel-pintura/a366ec74-2325-45b4-ad9e-5cded2cb8b91
200,223,Anónimo,0,0,0,Siglo XII,0,0,P007280,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Pintura mural de la ermita de la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Enjuta izquierda arco entrada. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/enjuta-izquierda-arco-entrada-pintura-mural-de-la/71c83952-35e1-4818-9dfb-043dbf77e802
200,223,Anónimo,0,0,0,Siglo XII,0,0,P007281,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Pintura mural de la ermita de la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Enjuta derecha arco entrada. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/enjuta-derecha-arco-entrada-pintura-mural-de-la/0e4f5ffb-4df5-4c46-9972-f0d836acb4d5
190,308,Anónimo,0,0,0,Siglo XII,0,0,P007282,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Pintura mural de la ermita la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,La Anunciación y ángel turiferario. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/la-anunciacion-y-angel-turiferario-pintura-mural/d4afebfc-87f3-4f4e-ad46-9d36aa2835d7
186,252,Anónimo,0,0,0,Siglo XII,0,0,P007283,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Pintura mural de la ermita la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Dos apóstoles. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/dos-apostoles-pintura-mural-de-la-ermita-de-la/ac0f14a1-3d08-4686-918c-440cb1aec203
190,189,Anónimo,0,0,0,Siglo XII,0,0,P007286,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Pintura mural de la ermita de la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Los evangelistas san Mateo y san Lucas. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/los-evangelistas-san-mateo-y-san-lucas-pintura/2998b2de-28a8-4120-815a-8b781be19fe1
190,274,Anónimo,0,0,0,Siglo XII,0,0,P007287,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Pintura mural de la ermita de la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Cuatro apóstoles. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/cuatro-apostoles-pintura-mural-de-la-ermita-de-la/5e7a1392-df41-4a25-bc54-14a0ab53dfba
203,207,Anónimo,0,0,0,Siglo XII,0,0,P007284,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Pintura mural de la ermita de la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,El Pecado Original. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/el-pecado-original-pintura-mural-de-la-ermita-de/b9067a97-703f-4f71-9955-c564b06fb650
203,239,Anónimo,0,0,0,Siglo XII,0,0,P007285,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Pintura mural de la ermita de la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Creación de Adán. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/creacion-de-adan-pintura-mural-de-la-ermita-de-la/52e8a064-dfad-43db-a9f9-939eeba21869
201,113,Anónimo,0,0,0,Hacia 1125,0,0,P007263,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Pinturas murales de San Baudelio de Casillas de Berlanga.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Oso. Ermita de San Baudelio. Casillas de Berlanga (Soria),https://www.museodelprado.es/coleccion/obra-de-arte/oso-ermita-de-san-baudelio-casillas-de-berlanga/4b67cb49-aab9-43fb-b66e-0aa56c25e66d
205,135,Anónimo,0,0,0,Hacia 1125,0,0,P007264,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Pinturas murales de San Baudelio de Casillas de Berlanga.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Elefante. Ermita de San Baudelio. Casillas de Berlanga (Soria),https://www.museodelprado.es/coleccion/obra-de-arte/elefante-ermita-de-san-baudelio-casillas-de/ce773332-e8dd-447c-bd22-b57c0778a120
183,355,Anónimo,0,0,0,Hacia 1125,0,0,P007265,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Pinturas murales de San Baudelio de Casillas de Berlanga.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Cacería de liebres. Ermita de San Baudelio. Casillas de Berlanga (Soria),https://www.museodelprado.es/coleccion/obra-de-arte/caceria-de-liebres-ermita-de-san-baudelio/2b3c6587-3c57-4ab2-be37-5a1d0231bed8
288,130,Anónimo,0,0,0,Hacia 1125,0,0,P007266,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Pinturas murales de San Baudelio de Casillas de Berlanga.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Soldado o montero. Ermita de San Baudelio. Casillas de Berlanga (Soria),https://www.museodelprado.es/coleccion/obra-de-arte/soldier-hermitage-of-san-baudelio-casillas-de/e047c51a-a5b9-4b19-b5b3-eaee59382be4
156,112,Anónimo,0,0,0,Hacia 1125,0,0,P007267,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Pinturas murales de San Baudelio de Casillas de Berlanga.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Cortina. Ermita de San Baudelio. Casillas de Berlanga (Soria),https://www.museodelprado.es/coleccion/obra-de-arte/curtain-ermita-de-san-baudelio-casillas-de/a3ac59cd-8d16-4a35-bbec-05a3796d976e
185,246,Anónimo,0,0,0,Hacia 1125,0,0,P007268,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Pinturas murales de San Baudelio de Casillas de Berlanga.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Cacería del ciervo. Ermita de San Baudelio. Casillas de Berlanga (Soria),https://www.museodelprado.es/coleccion/obra-de-arte/caceria-del-ciervo-ermita-de-san-baudelio/b91ac26a-9f9e-4f3a-b7af-e394601979b2
102,"108,3",Taller de Maestro de Lluça,0,0,0,1200 - 1210,0,0,P008119,"Capilla de la Magdalena de Solanllong, cerca de Ripoll (Gerona); colección Esteban Planas, Olot, 1935; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013",0,Tabla,Temple,Frontal de Solanllong. Pantocrátor con el Tetramorfos,https://www.museodelprado.es/coleccion/obra-de-arte/frontal-de-solanllong-pantocrator-con-el/e3ca2a80-2a83-4e93-91ee-2b53472d22f3
230,"189,5",Maestro de San Esteve de Andorra,0,0,0,1200 - 1215,0,0,P008126,"Ábside central de la iglesia de Sant Esteve, Andorra la Vella (hasta 1924-1928); colección Ròmul Bosch i Rius, Barcelona; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.",0,Revestimiento mural trasladado a lienzo,Pintura al fresco,El Lavatorio,https://www.museodelprado.es/coleccion/obra-de-arte/el-lavatorio/86101742-00c2-42b8-99b9-705e6df45403
"98,9","129,3",Anónimo,0,0,0,Primer tercio del siglo XIII,0,0,P008118,"Ermita mozárabe de Nuestra Señora de Peñalba, Arnedillo (La Rioja); Iglesia parroquial, Arnedillo, 1941-1945; colección Emilio Bernardo de Quirós, Madrid, 1945; colección Várez Fisa, Madrid; Donación Familia Várez Fisa, 2013.",0,Tabla,Temple,Frontal con escenas de infancia de Jesús,https://www.museodelprado.es/coleccion/obra-de-arte/frontal-con-escenas-de-infancia-de-jesus/9894ac85-419a-47b2-85a7-6be95ee37e16
92,175,Anónimo,0,0,0,Finales del siglo XIII,0,0,P003055,"Iglesia de San Esteban de Guils, Cerdaña; colección Plandiura, Barcelona; adquirido para el Museo del Prado a J. A Maragall, Barcelona, 1963",0,Tabla,Temple,Frontal de Guils,https://www.museodelprado.es/coleccion/obra-de-arte/frontal-de-guils/e65d6579-b6b8-40c0-9655-d9eb86772395
"275,3","189,1",Anónimo,0,0,0,Finales del siglo XIII,0,0,P003150,"Donación José Luis Várez Fisa, 1970.",0,Tabla,Temple,Retablo de san Cristóbal,https://www.museodelprado.es/coleccion/obra-de-arte/altarpiece-of-saint-christopher/de262360-2a18-49a5-8082-2608db378297
48,42,"Traini, Francesco",0,0,0,Hacia 1345,0,0,P002944,Colección Real,0,Tabla,Dorado; Témpera,La Virgen con el Niño,https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-con-el-nio/7928cdb7-4df0-4636-a1ae-c3641361b619
280,92,"Serra, Jaume",0,0,0,1356 - 1359,0,0,P003107,Santuario de Nuestra Señora de Tobed (Zaragoza); adquirida para el Museo del Prado a José Bardolet en 1965.,0,Tabla,Temple,Episodios de las vidas de la Magdalena y de san Juan Bautista,https://www.museodelprado.es/coleccion/obra-de-arte/episodios-de-las-vidas-de-la-magdalena-y-de-san/baa1b639-a138-4c41-8b80-f90e54673cbc
161,97,Maestro de Estamariú,0,0,0,1357 - 1385,0,0,P002535,"Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lleida; adquisición a Apolinar Sánchez Villaba, 1931.","Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lleida",Tabla,Temple,Retablo de la leyenda de santa Lucía,https://www.museodelprado.es/coleccion/obra-de-arte/retablo-de-la-leyenda-de-santa-lucia/03a0a1eb-9da9-4445-8639-1fba3bc8f4d8
161,97,Maestro de Estamariú,0,0,0,1357 - 1385,0,0,P002536,"Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lérida; adquisición a Apolinar Sánchez Villalba, 1931.","Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lleida",Tabla,Temple,Retablo de la leyenda de santa Lucía,https://www.museodelprado.es/coleccion/obra-de-arte/retablo-de-la-leyenda-de-santa-lucia/fd45c125-4c87-49e2-b769-2c506f5d2af4
280,92,"Serra, Jaume",0,0,0,1359 - 1362,0,0,P003106,Santuario de Nuestra Señora de Tobed (Zaragoza); adquirida para el Museo del Prado a José Bardolet en 1965.,0,Tabla,Temple,Episodios de las vidas de la Magdalena y de san Juan Bautista,https://www.museodelprado.es/coleccion/obra-de-arte/episodios-de-las-vidas-de-la-magdalena-y-de-san/98b8d997-5a43-49a7-92aa-e6e8409c5616
"161,4","117,8","Serra, Jaume",0,0,0,1359 - 1362,0,0,P008117,"Iglesia de Santa María de Tobed, hasta final siglo XIX; colección de Román Vicente, Zaragoza, 1908; Fernando Birk Crecelius, Barcelona; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013",0,Tabla,Temple,"Virgen de Tobed con los donantes Enrique II de Castilla, su mujer, Juana Manuel, y dos de sus hijos, Juan y Juana?",https://www.museodelprado.es/coleccion/obra-de-arte/virgen-de-tobed-con-los-donantes-enrique-ii-de/3977d582-961a-4fb9-8a4f-ea7d0573882b
58,32,"Serra, Jaume",0,0,0,1360 - 1370,0,0,P002676,"Legado Pablo Bosch y Barrau, 1916",0,Tabla,Temple,Virgen de la Humildad con donante,https://www.museodelprado.es/coleccion/obra-de-arte/virgen-de-la-humildad-con-donante/8902f9af-2730-47d1-8005-c2701cee8c62
35,39,Maestro de la Madonna della Misericordia,0,0,0,Hacia 1370,0,0,P002841,"Colección Toscanelli, Pisa, 1883; col. Joseph Spiridon, París, ¿1888?-1929; col. Francisco de Asís Cambó, Barcelona, 1929-1941; donación Francisco de Asís Cambó i Batlle, 1941.",0,Tabla,Dorado; Témpera,San Eloy en el taller de orfebrería,https://www.museodelprado.es/coleccion/obra-de-arte/san-eloy-en-el-taller-de-orfebreria/a90f2403-fb27-420b-ae9d-5bd95850b780
35,39,Maestro de la Madonna della Misericordia,0,0,0,Hacia 1370,0,0,P002842,"Colección Toscanelli, Pisa, 1883; col. Joseph Spiridon, París, ¿1888?-1929; col. Francisco de Asís Cambó, Barcelona, 1929-1941; donación Francisco de Asís Cambó i Batlle, 1941.",0,Tabla,Dorado; Témpera,San Eloy ante el rey Clotario,https://www.museodelprado.es/coleccion/obra-de-arte/san-eloy-ante-el-rey-clotario/bce6689e-909a-432a-bf7a-7fac50ea36b1
48,35,Anónimo,0,0,0,1375 - 1400,0,0,P002675,"Legado Pablo Bosch y Barrau, 1916",0,Tabla,Temple,La Crucifixión,https://www.museodelprado.es/coleccion/obra-de-arte/la-crucifixion/a89e245d-1ba0-4a4e-bc45-deebc73fbb9f
161,92,"Atribuido a Nicolau, Pere",0,0,0,Hacia 1400,0,0,P002707,"Legado Pablo Bosch y Barrau, 1916",0,Tabla,Técnica mixta; Temple,La Virgen de la Humildad,https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-de-la-humildad/df72ec7b-2aca-40b0-ab4b-296f96b002e7
1142,605,Anónimo,0,0,0,Hacia 1400,0,Madera,P008120,"Artur Ramón, Barcelona; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.",0,0,Policromado; Tallado,Artesonado,https://www.museodelprado.es/coleccion/obra-de-arte/artesonado/a53ae65a-fe9b-4370-bcb4-4d27edf79736
"128,2","84,3","Borrassà, Lluís",0,0,0,1400 - 1405,0,0,P008116,"Catedral de Barcelona, 1936; Rómulo Bosch Catarineu; colección Várez Fisa, 2012; adquirido por el Estado por dación como pago de impuestos, 2012",0,Tabla de madera de álamo,Temple,San Andrés negándose a adorar al ídolo,https://www.museodelprado.es/coleccion/obra-de-arte/saint-andrew-refusing-to-worship-the-idol/39ec035f-ec21-4f35-9b77-47cdff502e89
192,107,"Lembrí, Pere ?",0,0,0,1400 - 1415,0,0,P007809,"Colección Garnelo, Madrid; Colección Batlló, Barcelona; Colección particular, Barcelona; Adquirido en Christies en 2002.",0,Tabla,Dorado; Temple,La Virgen de la leche con san Bernardo de Claraval y san Benito,https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-de-la-leche-con-san-bernardo-de/9b376cb9-cb0b-4fb1-80c2-12da1fdd09f6
95,55,"Peralta, Juan de",0,0,0,1401 - 1435,0,0,P001327,"Adquirida por el Junta Superior del Tesoro Artístico Nacional, 1928",0,Tabla,Temple,San Lucas,https://www.museodelprado.es/coleccion/obra-de-arte/saint-luke/61b5e23c-0768-4177-99a2-e98f81bd4836
48,73,Anónimo,0,0,0,Siglo XV,0,0,P001337,"Legado Mariano Lanuza y Fernández, 1940",0,Tabla,Óleo,"San Bartolomé, san Pablo y san Andrés",https://www.museodelprado.es/coleccion/obra-de-arte/san-bartolome-san-pablo-y-san-andres/11a9dae6-3f95-4a92-9393-9ccc6b293581
105,102,Anónimo,0,0,0,Siglo XV,0,0,P002667,"Legado Pablo Bosch y Barrau, 1916",0,Lienzo,Óleo,Proyecto de altar,https://www.museodelprado.es/coleccion/obra-de-arte/proyecto-de-altar/bd186574-8993-48c4-97c5-db5c3ed3fd7f
"25,5","17,5",Anónimo,0,0,0,Siglo XV,0,0,P002679,"Legado Pablo Bosch y Barrau, 1916",0,Tabla,Óleo,La Crucifixión,https://www.museodelprado.es/coleccion/obra-de-arte/la-crucifixion/b6d81f38-50ae-4096-bbfd-e46bd3c720f0
60,43,Anónimo,0,0,0,Siglo XV,0,0,P002714,"Legado Pablo Bosch y Barrau, 1916",0,Tabla pasada a lienzo,Temple,La Visitación,https://www.museodelprado.es/coleccion/obra-de-arte/la-visitacion/692f8ff4-e23d-457e-a4c8-da2ab4f6a773
18,13,"Seguidor de Memling, Hans",0,0,0,Siglo XV,0,0,P003144,"Donación Mª Ángeles Sáinz de la Cuesta, condesa viuda de los Moriles, 1969",0,Tabla de madera de roble,Óleo,La Virgen de la Leche,https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-de-la-leche/f27f30f5-541f-42af-b92e-01d0de395436
29,24,Copia El Bosco,0,0,0,Siglo XV,0,0,P002054,"Colección Real (colección Felipe V, Quinta del duque del Arco, El Pardo-Madrid, 1745, [nº 149]; Quinta del duque del Arco, 1794, nº 151)",0,Tabla,Óleo,Fantasía moral (Visio tondali),https://www.museodelprado.es/coleccion/obra-de-arte/fantasia-moral-visio-tondali/ed19fa42-83e3-443b-96b1-04261634bb14
191,165,Anónimo,0,0,0,Siglo XV,0,0,P003099,"Adquisición, 1963",0,Tabla,Técnica mixta,Retablo de la Magdalena,https://www.museodelprado.es/coleccion/obra-de-arte/retablo-de-la-magdalena/d279575e-85e5-4fd4-984b-bed1c220e9f1
90,37,Copia El Bosco,0,0,0,Siglos XV - XVI,0,0,P002051,"Colección Real (Real Monasterio de San Lorenzo, El Escorial, Madrid, Capilla del Noviciado, 1839)",0,Tabla de madera de roble,Óleo,Las tentaciones de san Antonio Abad,https://www.museodelprado.es/coleccion/obra-de-arte/las-tentaciones-de-san-antonio-abad/c8f147bd-a03f-42fa-a569-0f110a54d4ca
188,77,Taller de El Bosco,0,0,0,Siglos XV - XVI,0,0,P002053,"Colección Real (Palacio Real del Buen Retiro, Madrid, 1794, nº 997; Real Monasterio de San Lorenzo, El Escorial, Madrid, Iglesia Vieja, 1839)",0,Tabla,Óleo,La Creación,https://www.museodelprado.es/coleccion/obra-de-arte/la-creacion/b5cb7209-0009-4b8f-ab20-d6db0617a9fa
47,32,"Atribuido a Wertingen, Hans",0,0,0,Siglos XV - XVI,0,0,P002216,"Colección Real (Palacio del Buen Retiro, Madrid, cuarto del infante don Luis-pinturas apeadas, 1772, ¿nº 786?; Buen Retiro, 1794, nº 1091).",0,Tabla,Óleo,"Federico III, emperador de Alemania",https://www.museodelprado.es/coleccion/obra-de-arte/federico-iii-emperador-de-alemania/5f65e03c-f543-4af7-899e-ce117422d0ac
155,87,0,0,"Gener, Guerau; Peris Sarrià, Gonçal",0,1405,0,0,P003111,"Colección Yakichiro Suma, hasta 1962; adquirido por Junta de Exportación en 1962; asignado al Museo N. del Prado en 1965.",0,Tabla,Temple,Santo Domingo de Guzmán y cuatro santos,https://www.museodelprado.es/coleccion/obra-de-arte/santo-domingo-de-guzman-y-cuatro-santos/bb9e8417-4ea8-4e8e-8dbe-adc9b07e829e
47,"33,5",Atribuido a Colart de Laon,0,0,0,1405 - 1408,0,0,P008106,"Colección Salazar, Vitoria, 1960; Colección privada hasta 2012; Adquirido por el Museo del Prado con fondos propios en la Sala Sotheby's de Madrid, 2012.",0,Tabla de roble del Báltico,Temple graso,La oración en el huerto con Luis I de Orleans como donante,https://www.museodelprado.es/coleccion/obra-de-arte/la-oracion-en-el-huerto-con-luis-i-de-orleans/e095e622-a8c8-47c9-979f-de9dbd40d1bf
"99,5","43,5","Mateu, Jaume",0,0,0,Hacia 1410,0,0,P007630,"Convento de San Pablo de los Dominicos, Palencia; Antonio Gorostiza, Bilbao; adquirido con fondos de la herencia de Manuel Villaescusa, 1992.","Retablo Santa Úrsula, Convento de San Pablo de los Dominicos, Palencia",Tabla,Temple,Petición de la mano de santa Úrsula,https://www.museodelprado.es/coleccion/obra-de-arte/peticion-de-la-mano-de-santa-ursula/784f99ae-002a-4bd7-92b9-a3f511e1e890
"99,5",45,"Mateu, Jaume",0,0,0,Hacia 1410,0,0,P007631,"Convento de San Pablo de los Dominicos, Palencia; Antonio Gorostiza, Bilbao; adquirido con fondos de la herencia de Manuel Villaescusa, 1992.","Retablo Santa Úrsula, Convento de San Pablo de los Dominicos, Palencia",Tabla,Temple,El rey de Inglaterra es informado de la propuesta de santa Úrsula,https://www.museodelprado.es/coleccion/obra-de-arte/el-rey-de-inglaterra-es-informado-de-la-propuesta/5234beea-7bfe-4ceb-9cdd-77692ac6073d
28,20,"Mateu, Jaume",0,0,0,Hacia 1410,0,0,P004011,0,0,Tabla,Técnica mixta,San Juan Evangelista,https://www.museodelprado.es/coleccion/obra-de-arte/san-juan-evangelista/ef8ecc8d-0e99-4da8-afd3-875414a6a258
128,105,"Peris, Antoni",0,0,0,Hacia 1412,0,0,P002532,"Donación marqués de Laurencín, 1920","Retablo de la iglesia del Castillo de Montesa, Valencia",Tabla,Temple,Nuestra Señora de Gracia y los grandes maestres de Montesa,https://www.museodelprado.es/coleccion/obra-de-arte/nuestra-seora-de-gracia-y-los-grandes-maestres-de/a862dbc5-7c08-4c65-84dd-b4b21a16e49f
161,155,0,0,"Autor de la obra original Sevilla, Juan de; Retocado por Juan Soreda",0,1410 - 1412 (Obra original); 1510 - 1523 (Repintes de los rostros),0,0,P001336,"Catedral de Sigüenza, Capilla de San Juan Bautista y Santa Catalina, hasta 1922; la tabla central procede de la colección de Wenceslao Retana, h. 1922-1924; por herencia pasó a su hijo Álvaro Retana, 1924-1929; adquirida por la Junta Superior del Tesoro Artístico Nacional con destino al Museo del Prado, 1929-1930. Las cuatro tablas laterales fueron compradas por el Museo del Prado, con sus propios fondos, al anticuario Sánchez Villalba, en 1930",0,Tabla,Óleo; Temple,Retablo de san Juan Bautista y santa Catalina,https://www.museodelprado.es/coleccion/obra-de-arte/retablo-de-san-juan-bautista-y-santa-catalina/4e201004-f7ea-48b0-a87c-5f08b3e772eb
