"numero_catalogo","titulo","url","nombre_autor","procedencia","fecha","alto","ancho","exito","razon","area","tam_cat","orientacion","soporte","soporte_grp","sop_montaje","tecnica","tec_oleo","tec_acuosas","tec_mixta","tec_fresco","tec_otras","tipo_autor","serie","fecha_est","fecha_cat","tema"
"P007279","El evangelista san Marcos y un ángel. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/el-evangelista-san-marcos-y-un-angel-pintura/a366ec74-2325-45b4-ad9e-5cded2cb8b91","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","Siglo XII",181,214,0,1.18232044198895,38734,"grande","horizontal","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
"P007280","Enjuta izquierda arco entrada. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/enjuta-izquierda-arco-entrada-pintura-mural-de-la/71c83952-35e1-4818-9dfb-043dbf77e802","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","Siglo XII",200,223,0,1.115,44600,"grande","horizontal","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
"P007281","Enjuta derecha arco entrada. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/enjuta-derecha-arco-entrada-pintura-mural-de-la/0e4f5ffb-4df5-4c46-9972-f0d836acb4d5","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","Siglo XII",200,223,0,1.115,44600,"grande","horizontal","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
"P007282","La Anunciación y ángel turiferario. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/la-anunciacion-y-angel-turiferario-pintura-mural/d4afebfc-87f3-4f4e-ad46-9d36aa2835d7","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","Siglo XII",190,308,1,1.62105263157895,58520,"grande","horizontal","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
"P007283","Dos apóstoles. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/dos-apostoles-pintura-mural-de-la-ermita-de-la/ac0f14a1-3d08-4686-918c-440cb1aec203","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","Siglo XII",186,252,0,1.35483870967742,46872,"grande","horizontal","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
"P007286","Los evangelistas san Mateo y san Lucas. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/los-evangelistas-san-mateo-y-san-lucas-pintura/2998b2de-28a8-4120-815a-8b781be19fe1","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","Siglo XII",190,189,0,1.00529100529101,35910,"grande","vertical","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
"P007287","Cuatro apóstoles. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/cuatro-apostoles-pintura-mural-de-la-ermita-de-la/5e7a1392-df41-4a25-bc54-14a0ab53dfba","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","Siglo XII",190,274,0,1.44210526315789,52060,"grande","horizontal","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
"P007284","El Pecado Original. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/el-pecado-original-pintura-mural-de-la-ermita-de/b9067a97-703f-4f71-9955-c564b06fb650","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","Siglo XII",203,207,0,1.01970443349754,42021,"grande","horizontal","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
"P007285","Creación de Adán. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/creacion-de-adan-pintura-mural-de-la-ermita-de-la/52e8a064-dfad-43db-a9f9-939eeba21869","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","Siglo XII",203,239,0,1.17733990147783,48517,"grande","horizontal","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
"P007263","Oso. Ermita de San Baudelio. Casillas de Berlanga (Soria)","https://www.museodelprado.es/coleccion/obra-de-arte/oso-ermita-de-san-baudelio-casillas-de-berlanga/4b67cb49-aab9-43fb-b66e-0aa56c25e66d","Anónimo","San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.","Hacia 1125",201,113,0,1.7787610619469,22713,"grande","vertical","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1125,"0","religioso"
"P007264","Elefante. Ermita de San Baudelio. Casillas de Berlanga (Soria)","https://www.museodelprado.es/coleccion/obra-de-arte/elefante-ermita-de-san-baudelio-casillas-de/ce773332-e8dd-447c-bd22-b57c0778a120","Anónimo","San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.","Hacia 1125",205,135,0,1.51851851851852,27675,"grande","vertical","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1125,"0","religioso"
"P007265","Cacería de liebres. Ermita de San Baudelio. Casillas de Berlanga (Soria)","https://www.museodelprado.es/coleccion/obra-de-arte/caceria-de-liebres-ermita-de-san-baudelio/2b3c6587-3c57-4ab2-be37-5a1d0231bed8","Anónimo","San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.","Hacia 1125",183,355,0,1.93989071038251,64965,"grande","horizontal","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1125,"0","religioso"
"P007266","Soldado o montero. Ermita de San Baudelio. Casillas de Berlanga (Soria)","https://www.museodelprado.es/coleccion/obra-de-arte/soldier-hermitage-of-san-baudelio-casillas-de/e047c51a-a5b9-4b19-b5b3-eaee59382be4","Anónimo","San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.","Hacia 1125",288,130,0,2.21538461538462,37440,"grande","vertical","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1125,"0","religioso"
"P007267","Cortina. Ermita de San Baudelio. Casillas de Berlanga (Soria)","https://www.museodelprado.es/coleccion/obra-de-arte/curtain-ermita-de-san-baudelio-casillas-de/a3ac59cd-8d16-4a35-bbec-05a3796d976e","Anónimo","San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.","Hacia 1125",156,112,0,1.39285714285714,17472,"mediano","vertical","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1125,"0","religioso"
"P007268","Cacería del ciervo. Ermita de San Baudelio. Casillas de Berlanga (Soria)","https://www.museodelprado.es/coleccion/obra-de-arte/caceria-del-ciervo-ermita-de-san-baudelio/b91ac26a-9f9e-4f3a-b7af-e394601979b2","Anónimo","San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.","Hacia 1125",185,246,0,1.32972972972973,45510,"grande","horizontal","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1125,"0","religioso"
"P008119","Frontal de Solanllong. Pantocrátor con el Tetramorfos","https://www.museodelprado.es/coleccion/obra-de-arte/frontal-de-solanllong-pantocrator-con-el/e3ca2a80-2a83-4e93-91ee-2b53472d22f3","Taller de Maestro de Lluça","Capilla de la Magdalena de Solanllong, cerca de Ripoll (Gerona); colección Esteban Planas, Olot, 1935; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013","1200 - 1210",102,108.3,0,1.06176470588235,11046.6,"mediano","horizontal","Tabla","Tabla/Panel",0,"Temple",0,1,0,0,0,"hombre",0,1205,"1-10","otros"
"P008126","El Lavatorio","https://www.museodelprado.es/coleccion/obra-de-arte/el-lavatorio/86101742-00c2-42b8-99b9-705e6df45403","Maestro de San Esteve de Andorra","Ábside central de la iglesia de Sant Esteve, Andorra la Vella (hasta 1924-1928); colección Ròmul Bosch i Rius, Barcelona; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.","1200 - 1215",230,189.5,0,1.21372031662269,43585,"grande","vertical","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"hombre",0,1208,"11-98","otros"
"P008118","Frontal con escenas de infancia de Jesús","https://www.museodelprado.es/coleccion/obra-de-arte/frontal-con-escenas-de-infancia-de-jesus/9894ac85-419a-47b2-85a7-6be95ee37e16","Anónimo","Ermita mozárabe de Nuestra Señora de Peñalba, Arnedillo (La Rioja); Iglesia parroquial, Arnedillo, 1941-1945; colección Emilio Bernardo de Quirós, Madrid, 1945; colección Várez Fisa, Madrid; Donación Familia Várez Fisa, 2013.","Primer tercio del siglo XIII",98.9,129.3,0,1.30738119312437,12787.77,"mediano","horizontal","Tabla","Tabla/Panel",0,"Temple",0,1,0,0,0,"anonimo",0,1217,"11-98","religioso"
"P003055","Frontal de Guils","https://www.museodelprado.es/coleccion/obra-de-arte/frontal-de-guils/e65d6579-b6b8-40c0-9655-d9eb86772395","Anónimo","Iglesia de San Esteban de Guils, Cerdaña; colección Plandiura, Barcelona; adquirido para el Museo del Prado a J. A Maragall, Barcelona, 1963","Finales del siglo XIII",92,175,0,1.90217391304348,16100,"mediano","horizontal","Tabla","Tabla/Panel",0,"Temple",0,1,0,0,0,"anonimo",0,1290,"11-98","otros"
"P003150","Retablo de san Cristóbal","https://www.museodelprado.es/coleccion/obra-de-arte/altarpiece-of-saint-christopher/de262360-2a18-49a5-8082-2608db378297","Anónimo","Donación José Luis Várez Fisa, 1970.","Finales del siglo XIII",275.3,189.1,0,1.45584346906399,52059.23,"grande","vertical","Tabla","Tabla/Panel",0,"Temple",0,1,0,0,0,"anonimo",0,1290,"11-98","religioso"
"P002944","La Virgen con el Niño","https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-con-el-nio/7928cdb7-4df0-4636-a1ae-c3641361b619","Traini, Francesco","Colección Real","Hacia 1345",48,42,0,1.14285714285714,2016,"pequeno","vertical","Tabla","Tabla/Panel",0,"Dorado; Témpera",0,1,0,0,1,"hombre",0,1345,"0","religioso"
"P003107","Episodios de las vidas de la Magdalena y de san Juan Bautista","https://www.museodelprado.es/coleccion/obra-de-arte/episodios-de-las-vidas-de-la-magdalena-y-de-san/baa1b639-a138-4c41-8b80-f90e54673cbc","Serra, Jaume","Santuario de Nuestra Señora de Tobed (Zaragoza); adquirida para el Museo del Prado a José Bardolet en 1965.","1356 - 1359",280,92,0,3.04347826086957,25760,"grande","vertical","Tabla","Tabla/Panel",0,"Temple",0,1,0,0,0,"hombre",0,1358,"1-10","religioso"
"P002535","Retablo de la leyenda de santa Lucía","https://www.museodelprado.es/coleccion/obra-de-arte/retablo-de-la-leyenda-de-santa-lucia/03a0a1eb-9da9-4445-8639-1fba3bc8f4d8","Maestro de Estamariú","Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lleida; adquisición a Apolinar Sánchez Villaba, 1931.","1357 - 1385",161,97,1,1.65979381443299,15617,"mediano","vertical","Tabla","Tabla/Panel",0,"Temple",0,1,0,0,0,"hombre",1,1371,"11-98","religioso"
"P002536","Retablo de la leyenda de santa Lucía","https://www.museodelprado.es/coleccion/obra-de-arte/retablo-de-la-leyenda-de-santa-lucia/fd45c125-4c87-49e2-b769-2c506f5d2af4","Maestro de Estamariú","Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lérida; adquisición a Apolinar Sánchez Villalba, 1931.","1357 - 1385",161,97,1,1.65979381443299,15617,"mediano","vertical","Tabla","Tabla/Panel",0,"Temple",0,1,0,0,0,"hombre",1,1371,"11-98","religioso"
"P003106","Episodios de las vidas de la Magdalena y de san Juan Bautista","https://www.museodelprado.es/coleccion/obra-de-arte/episodios-de-las-vidas-de-la-magdalena-y-de-san/98b8d997-5a43-49a7-92aa-e6e8409c5616","Serra, Jaume","Santuario de Nuestra Señora de Tobed (Zaragoza); adquirida para el Museo del Prado a José Bardolet en 1965.","1359 - 1362",280,92,0,3.04347826086957,25760,"grande","vertical","Tabla","Tabla/Panel",0,"Temple",0,1,0,0,0,"hombre",0,1360,"1-10","religioso"
"P008117","Virgen de Tobed con los donantes Enrique II de Castilla, su mujer, Juana Manuel, y dos de sus hijos, Juan y Juana?","https://www.museodelprado.es/coleccion/obra-de-arte/virgen-de-tobed-con-los-donantes-enrique-ii-de/3977d582-961a-4fb9-8a4f-ea7d0573882b","Serra, Jaume","Iglesia de Santa María de Tobed, hasta final siglo XIX; colección de Román Vicente, Zaragoza, 1908; Fernando Birk Crecelius, Barcelona; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013","1359 - 1362",161.4,117.8,0,1.37011884550085,19012.92,"grande","vertical","Tabla","Tabla/Panel",0,"Temple",0,1,0,0,0,"hombre",0,1360,"1-10","religioso"
"P002676","Virgen de la Humildad con donante","https://www.museodelprado.es/coleccion/obra-de-arte/virgen-de-la-humildad-con-donante/8902f9af-2730-47d1-8005-c2701cee8c62","Serra, Jaume","Legado Pablo Bosch y Barrau, 1916","1360 - 1370",58,32,0,1.8125,1856,"pequeno","vertical","Tabla","Tabla/Panel",0,"Temple",0,1,0,0,0,"hombre",0,1365,"1-10","religioso"
"P002841","San Eloy en el taller de orfebrería","https://www.museodelprado.es/coleccion/obra-de-arte/san-eloy-en-el-taller-de-orfebreria/a90f2403-fb27-420b-ae9d-5bd95850b780","Maestro de la Madonna della Misericordia","Colección Toscanelli, Pisa, 1883; col. Joseph Spiridon, París, ¿1888?-1929; col. Francisco de Asís Cambó, Barcelona, 1929-1941; donación Francisco de Asís Cambó i Batlle, 1941.","Hacia 1370",35,39,0,1.11428571428571,1365,"pequeno","horizontal","Tabla","Tabla/Panel",0,"Dorado; Témpera",0,1,0,0,1,"hombre",0,1370,"0","religioso"
"P002842","San Eloy ante el rey Clotario","https://www.museodelprado.es/coleccion/obra-de-arte/san-eloy-ante-el-rey-clotario/bce6689e-909a-432a-bf7a-7fac50ea36b1","Maestro de la Madonna della Misericordia","Colección Toscanelli, Pisa, 1883; col. Joseph Spiridon, París, ¿1888?-1929; col. Francisco de Asís Cambó, Barcelona, 1929-1941; donación Francisco de Asís Cambó i Batlle, 1941.","Hacia 1370",35,39,0,1.11428571428571,1365,"pequeno","horizontal","Tabla","Tabla/Panel",0,"Dorado; Témpera",0,1,0,0,1,"hombre",0,1370,"0","religioso"
"P002675","La Crucifixión","https://www.museodelprado.es/coleccion/obra-de-arte/la-crucifixion/a89e245d-1ba0-4a4e-bc45-deebc73fbb9f","Anónimo","Legado Pablo Bosch y Barrau, 1916","1375 - 1400",48,35,0,1.37142857142857,1680,"pequeno","vertical","Tabla","Tabla/Panel",0,"Temple",0,1,0,0,0,"anonimo",0,1388,"11-98","religioso"
"P002707","La Virgen de la Humildad","https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-de-la-humildad/df72ec7b-2aca-40b0-ab4b-296f96b002e7","Atribuido a Nicolau, Pere","Legado Pablo Bosch y Barrau, 1916","Hacia 1400",161,92,0,1.75,14812,"mediano","vertical","Tabla","Tabla/Panel",0,"Técnica mixta; Temple",0,1,1,0,0,"hombre",0,1400,"0","religioso"
"P008116","San Andrés negándose a adorar al ídolo","https://www.museodelprado.es/coleccion/obra-de-arte/saint-andrew-refusing-to-worship-the-idol/39ec035f-ec21-4f35-9b77-47cdff502e89","Borrassà, Lluís","Catedral de Barcelona, 1936; Rómulo Bosch Catarineu; colección Várez Fisa, 2012; adquirido por el Estado por dación como pago de impuestos, 2012","1400 - 1405",128.2,84.3,0,1.52075919335706,10807.26,"mediano","vertical","Tabla de madera de álamo","Tabla/Panel",0,"Temple",0,1,0,0,0,"hombre",0,1402,"1-10","religioso"
"P007809","La Virgen de la leche con san Bernardo de Claraval y san Benito","https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-de-la-leche-con-san-bernardo-de/9b376cb9-cb0b-4fb1-80c2-12da1fdd09f6","Lembrí, Pere ?","Colección Garnelo, Madrid; Colección Batlló, Barcelona; Colección particular, Barcelona; Adquirido en Christies en 2002.","1400 - 1415",192,107,0,1.79439252336449,20544,"grande","vertical","Tabla","Tabla/Panel",0,"Dorado; Temple",0,1,0,0,1,"hombre",0,1408,"11-98","religioso"
"P001327","San Lucas","https://www.museodelprado.es/coleccion/obra-de-arte/saint-luke/61b5e23c-0768-4177-99a2-e98f81bd4836","Peralta, Juan de","Adquirida por el Junta Superior del Tesoro Artístico Nacional, 1928","1401 - 1435",95,55,0,1.72727272727273,5225,"mediano","vertical","Tabla","Tabla/Panel",0,"Temple",0,1,0,0,0,"hombre",0,1418,"11-98","religioso"
"P001337","San Bartolomé, san Pablo y san Andrés","https://www.museodelprado.es/coleccion/obra-de-arte/san-bartolome-san-pablo-y-san-andres/11a9dae6-3f95-4a92-9393-9ccc6b293581","Anónimo","Legado Mariano Lanuza y Fernández, 1940","Siglo XV",48,73,0,1.52083333333333,3504,"pequeno","horizontal","Tabla","Tabla/Panel",0,"Óleo",1,0,0,0,0,"anonimo",0,1450,"99","religioso"
"P002667","Proyecto de altar","https://www.museodelprado.es/coleccion/obra-de-arte/proyecto-de-altar/bd186574-8993-48c4-97c5-db5c3ed3fd7f","Anónimo","Legado Pablo Bosch y Barrau, 1916","Siglo XV",105,102,0,1.02941176470588,10710,"mediano","vertical","Lienzo","Lienzo",0,"Óleo",1,0,0,0,0,"anonimo",0,1450,"99","otros"
"P002679","La Crucifixión","https://www.museodelprado.es/coleccion/obra-de-arte/la-crucifixion/b6d81f38-50ae-4096-bbfd-e46bd3c720f0","Anónimo","Legado Pablo Bosch y Barrau, 1916","Siglo XV",25.5,17.5,0,1.45714285714286,446.25,"pequeno","vertical","Tabla","Tabla/Panel",0,"Óleo",1,0,0,0,0,"anonimo",0,1450,"99","religioso"
"P002714","La Visitación","https://www.museodelprado.es/coleccion/obra-de-arte/la-visitacion/692f8ff4-e23d-457e-a4c8-da2ab4f6a773","Anónimo","Legado Pablo Bosch y Barrau, 1916","Siglo XV",60,43,0,1.3953488372093,2580,"pequeno","vertical","Tabla pasada a lienzo","Tabla/Panel",1,"Temple",0,1,0,0,0,"anonimo",0,1450,"99","religioso"
"P003144","La Virgen de la Leche","https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-de-la-leche/f27f30f5-541f-42af-b92e-01d0de395436","Seguidor de Memling, Hans","Donación Mª Ángeles Sáinz de la Cuesta, condesa viuda de los Moriles, 1969","Siglo XV",18,13,0,1.38461538461538,234,"pequeno","vertical","Tabla de madera de roble","Tabla/Panel",0,"Óleo",1,0,0,0,0,"hombre",0,1450,"99","religioso"
"P002054","Fantasía moral (Visio tondali)","https://www.museodelprado.es/coleccion/obra-de-arte/fantasia-moral-visio-tondali/ed19fa42-83e3-443b-96b1-04261634bb14","Copia El Bosco","Colección Real (colección Felipe V, Quinta del duque del Arco, El Pardo-Madrid, 1745, [nº 149]; Quinta del duque del Arco, 1794, nº 151)","Siglo XV",29,24,0,1.20833333333333,696,"pequeno","vertical","Tabla","Tabla/Panel",0,"Óleo",1,0,0,0,0,"hombre",0,1450,"99","otros"
"P003099","Retablo de la Magdalena","https://www.museodelprado.es/coleccion/obra-de-arte/retablo-de-la-magdalena/d279575e-85e5-4fd4-984b-bed1c220e9f1","Anónimo","Adquisición, 1963","Siglo XV",191,165,0,1.15757575757576,31515,"grande","vertical","Tabla","Tabla/Panel",0,"Técnica mixta",0,0,1,0,0,"anonimo",0,1450,"99","religioso"
"P002051","Las tentaciones de san Antonio Abad","https://www.museodelprado.es/coleccion/obra-de-arte/las-tentaciones-de-san-antonio-abad/c8f147bd-a03f-42fa-a569-0f110a54d4ca","Copia El Bosco","Colección Real (Real Monasterio de San Lorenzo, El Escorial, Madrid, Capilla del Noviciado, 1839)","Siglos XV - XVI",90,37,0,2.43243243243243,3330,"pequeno","vertical","Tabla de madera de roble","Tabla/Panel",0,"Óleo",1,0,0,0,0,"hombre",0,1500,"+100","religioso"
"P002053","La Creación","https://www.museodelprado.es/coleccion/obra-de-arte/la-creacion/b5cb7209-0009-4b8f-ab20-d6db0617a9fa","Taller de El Bosco","Colección Real (Palacio Real del Buen Retiro, Madrid, 1794, nº 997; Real Monasterio de San Lorenzo, El Escorial, Madrid, Iglesia Vieja, 1839)","Siglos XV - XVI",188,77,0,2.44155844155844,14476,"mediano","vertical","Tabla","Tabla/Panel",0,"Óleo",1,0,0,0,0,"hombre",0,1500,"+100","otros"
